seg_id,street_name,lat,lng,seg_start_lat,seg_start_lng,seg_end_lat,seg_end_lng,direction,length_m,highway_type,free_flow_speed,osm_u,osm_v
SEG_0553,Road 6,23.25131,72.637902,23.250446,72.639567,23.252174,72.636236,WESTBOUND,391.0,tertiary,45,3900987923,3832204421
SEG_0554,KH Road,23.22575,72.628828,23.227809,72.630096,23.223691,72.627559,SOUTHBOUND,526.4,secondary,55,3900988662,3326645168
SEG_0555,Road 4,23.229559,72.632128,23.229937,72.631437,23.229182,72.632818,EASTBOUND,164.2,tertiary,45,3900988665,780344257
SEG_0556,KH Road,23.229904,72.631417,23.229937,72.631437,23.229871,72.631397,SOUTHBOUND,8.4,secondary,55,3900988665,3904527683
SEG_0557,KH Road,23.230001,72.63148,23.230065,72.631522,23.229937,72.631437,SOUTHBOUND,16.7,secondary,55,3900988666,3900988665
SEG_0558,Station Road,23.230087,72.631483,23.230065,72.631522,23.230109,72.631443,WESTBOUND,9.4,tertiary,45,3900988666,3283421109
SEG_0559,KH Road,23.230475,72.631781,23.230798,72.631989,23.230151,72.631574,SOUTHBOUND,83.6,secondary,55,3900988667,10961422401
SEG_0560,KH Road,23.231889,72.632659,23.23298,72.633329,23.230798,72.631989,SOUTHBOUND,285.0,secondary,55,3900988679,3900988667
SEG_0561,KH Road,23.235375,72.634733,23.233877,72.633797,23.236873,72.635668,NORTHBOUND,384.2,secondary,55,3900988685,3900988695
SEG_0562,Road 5,23.235238,72.647511,23.23481,72.648308,23.235667,72.646714,WESTBOUND,188.7,tertiary,45,3900988689,3900988691
SEG_0563,Road 5,23.236184,72.645715,23.235667,72.646714,23.236701,72.644717,WESTBOUND,234.5,tertiary,45,3900988691,3900988693
SEG_0564,KH Road,23.237046,72.635778,23.236873,72.635668,23.23722,72.635888,NORTHBOUND,44.6,secondary,55,3900988695,3900988699
SEG_0565,Road 5,23.237594,72.643064,23.236838,72.644446,23.238349,72.641682,WESTBOUND,328.5,tertiary,45,3900988696,3900988703
SEG_0566,KH Road,23.23876,72.636846,23.23722,72.635888,23.240301,72.637804,NORTHBOUND,394.7,secondary,55,3900988699,3900988719
SEG_0567,Road 5,23.238555,72.641301,23.238349,72.641682,23.238762,72.640919,WESTBOUND,90.5,tertiary,45,3900988703,6397739164
SEG_0568,KH Road,23.238718,72.636924,23.24025,72.637897,23.237186,72.635952,SOUTHBOUND,394.4,secondary,55,3900988712,3442713497
SEG_0569,Road 5,23.240212,72.638364,23.240369,72.638079,23.240055,72.638649,EASTBOUND,67.9,tertiary,45,3900988725,3454003094
SEG_0570,G Road,23.240692,72.646994,23.240465,72.646847,23.240918,72.64714,NORTHBOUND,58.7,tertiary,45,3900988730,3900988742
SEG_0571,KH Road,23.241943,72.638826,23.240532,72.637935,23.243354,72.639717,NORTHBOUND,362.8,secondary,55,3900988740,3900988752
SEG_0572,G Road,23.241017,72.647204,23.240918,72.64714,23.241116,72.647268,NORTHBOUND,25.6,tertiary,45,3900988742,3900988743
