seg_id,street_name,lat,lng,seg_start_lat,seg_start_lng,seg_end_lat,seg_end_lng,direction,length_m,highway_type,free_flow_speed,osm_u,osm_v
SEG_6377,Unnamed_6377,23.205339,72.644742,23.205522,72.644859,23.205156,72.644625,SOUTHBOUND,47.2,residential,30,3904527448,3904527444
SEG_6378,Unnamed_6378,23.205423,72.645043,23.205522,72.644859,23.205324,72.645227,EASTBOUND,43.6,residential,30,3904527448,3904776456
SEG_6379,Unnamed_6379,23.205465,72.644505,23.205522,72.644859,23.205408,72.64415,WESTBOUND,99.6,residential,30,3904527448,3904778258
SEG_6380,Unnamed_6380,23.206138,72.648358,23.205996,72.648607,23.20628,72.648109,WESTBOUND,59.9,residential,30,3904527451,3415958012
SEG_6381,Unnamed_6381,23.205589,72.648353,23.205996,72.648607,23.205181,72.648099,SOUTHBOUND,104.5,residential,30,3904527451,780394945
SEG_6382,Unnamed_6382,23.205685,72.648719,23.205996,72.648607,23.205373,72.648832,SOUTHBOUND,97.6,residential,30,3904527451,3904778257
SEG_6383,Unnamed_6383,23.206905,72.647526,23.20676,72.647432,23.207051,72.64762,NORTHBOUND,37.7,residential,30,3904527455,3904527857
SEG_6384,Unnamed_6384,23.206701,72.647542,23.20676,72.647432,23.206642,72.647652,EASTBOUND,26.0,residential,30,3904527455,3415964405
SEG_6385,Unnamed_6385,23.206819,72.64732,23.20676,72.647432,23.206879,72.647209,WESTBOUND,26.4,residential,30,3904527455,3901046330
SEG_6386,Unnamed_6386,23.206792,72.647742,23.206943,72.647832,23.206642,72.647652,SOUTHBOUND,38.2,residential,30,3904527456,3415964405
SEG_6387,Unnamed_6387,23.206888,72.64794,23.206943,72.647832,23.206834,72.648048,EASTBOUND,25.2,residential,30,3904527456,3901046328
SEG_6388,Unnamed_6388,23.206997,72.647726,23.206943,72.647832,23.207051,72.64762,WESTBOUND,24.8,residential,30,3904527456,3904527857
